RiskPerformance,ExternalRiskEstimate,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever/DerogPubRec,NumTrades90Ever/DerogPubRec,PercentTradesNeverDelq,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NumRevolvingTradesWBalance,PercentTradesWBalance
Bad,65.0,10.0,37.0,14.0,1.0,1.0,93.0,15.0,1.0,13.0,2.0,2.0,52.0,3.0,56.0
Bad,78.0,4.0,13.0,11.0,0.0,0.0,100.0,11.0,5.0,64.0,3.0,3.0,7.0,3.0,75.0
Good,86.0,18.0,90.0,13.0,0.0,0.0,100.0,13.0,0.0,62.0,0.0,0.0,0.0,0.0,50.0
Good,90.0,13.0,73.0,11.0,0.0,0.0,100.0,13.0,0.0,62.0,0.0,0.0,1.0,1.0,71.0
Bad,76.0,4.0,74.0,33.0,0.0,0.0,100.0,34.0,1.0,38.0,2.0,2.0,37.0,13.0,88.0
Bad,70.0,4.0,20.0,19.0,0.0,0.0,100.0,20.0,2.0,20.0,3.0,3.0,42.0,2.0,50.0
Bad,73.0,16.0,100.0,40.0,0.0,0.0,100.0,44.0,0.0,23.0,1.0,1.0,79.0,18.0,80.0
Bad,72.0,2.0,95.0,41.0,0.0,0.0,100.0,42.0,3.0,38.0,1.0,1.0,42.0,7.0,82.0
Good,83.0,3.0,118.0,29.0,0.0,0.0,100.0,29.0,2.0,31.0,3.0,3.0,22.0,6.0,69.0
Good,87.0,7.0,111.0,26.0,0.0,0.0,100.0,30.0,1.0,40.0,0.0,0.0,12.0,3.0,56.0
Bad,55.0,6.0,59.0,19.0,0.0,0.0,89.0,19.0,1.0,53.0,1.0,1.0,97.0,8.0,100.0
Bad,65.0,12.0,97.0,44.0,0.0,0.0,89.0,47.0,0.0,32.0,9.0,9.0,63.0,9.0,60.0
Bad,78.0,23.0,91.0,15.0,0.0,0.0,100.0,17.0,0.0,41.0,5.0,5.0,57.0,2.0,67.0
Good,79.0,17.0,77.0,35.0,0.0,0.0,97.0,39.0,0.0,36.0,2.0,2.0,20.0,4.0,56.0
Bad,75.0,18.0,92.0,21.0,0.0,0.0,100.0,22.0,0.0,27.0,0.0,0.0,88.0,9.0,93.0
Bad,70.0,8.0,96.0,20.0,0.0,0.0,95.0,20.0,1.0,30.0,0.0,0.0,74.0,8.0,86.0
Bad,78.0,6.0,74.0,42.0,0.0,0.0,98.0,43.0,3.0,49.0,3.0,3.0,10.0,8.0,67.0
Bad,75.0,14.0,124.0,22.0,0.0,0.0,100.0,23.0,0.0,39.0,0.0,0.0,57.0,4.0,100.0
Bad,76.0,11.0,54.0,14.0,0.0,0.0,100.0,15.0,1.0,40.0,0.0,0.0,32.0,4.0,75.0
Bad,72.0,8.0,62.0,10.0,0.0,0.0,100.0,11.0,1.0,18.0,5.0,5.0,60.0,7.0,100.0
Bad,55.0,4.0,69.0,12.0,7.0,4.0,50.0,22.0,2.0,27.0,2.0,2.0,79.0,5.0,88.0
Bad,74.0,30.0,123.0,24.0,0.0,0.0,88.0,24.0,0.0,25.0,0.0,0.0,45.0,12.0,93.0
Bad,63.0,1.0,62.0,11.0,1.0,0.0,79.0,14.0,1.0,29.0,5.0,5.0,37.0,5.0,70.0
Bad,81.0,9.0,66.0,34.0,0.0,0.0,100.0,34.0,1.0,62.0,1.0,1.0,24.0,3.0,78.0
Good,81.0,9.0,78.0,18.0,0.0,0.0,100.0,18.0,1.0,83.0,0.0,0.0,0.0,1.0,80.0
Bad,59.0,11.0,79.0,38.0,1.0,1.0,76.0,43.0,1.0,50.0,1.0,1.0,63.0,7.0,86.0
Bad,66.0,11.0,81.0,43.0,0.0,0.0,98.0,44.0,1.0,39.0,2.0,2.0,36.0,3.0,47.0
Bad,72.0,5.0,60.0,21.0,1.0,1.0,96.0,23.0,1.0,52.0,4.0,4.0,66.0,4.0,78.0
Good,73.0,7.0,94.0,38.0,0.0,0.0,100.0,39.0,2.0,18.0,1.0,1.0,27.0,11.0,72.0
Bad,86.0,10.0,122.0,17.0,0.0,0.0,100.0,18.0,1.0,72.0,0.0,0.0,0.0,0.0,50.0
Bad,91.0,100.0,209.0,6.0,0.0,0.0,100.0,7.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0
Good,73.0,15.0,89.0,19.0,0.0,0.0,89.0,19.0,0.0,21.0,0.0,0.0,34.0,6.0,64.0
Good,78.0,2.0,63.0,35.0,0.0,0.0,93.0,40.0,3.0,40.0,0.0,0.0,22.0,5.0,60.0
Bad,65.0,8.0,37.0,20.0,1.0,1.0,95.0,21.0,1.0,38.0,2.0,2.0,49.0,5.0,67.0
Bad,75.0,1.0,38.0,8.0,0.0,0.0,100.0,9.0,1.0,78.0,4.0,3.0,17.0,2.0,100.0
Good,84.0,8.0,109.0,8.0,0.0,0.0,100.0,8.0,1.0,50.0,0.0,0.0,33.0,2.0,100.0
Good,75.0,12.0,94.0,39.0,0.0,0.0,98.0,40.0,0.0,35.0,2.0,2.0,17.0,6.0,61.0
Good,60.0,17.0,141.0,9.0,4.0,3.0,67.0,13.0,0.0,50.0,1.0,1.0,28.0,4.0,100.0
Good,68.0,3.0,54.0,29.0,1.0,1.0,87.0,31.0,2.0,65.0,1.0,1.0,85.0,3.0,100.0
Bad,67.0,7.0,44.0,15.0,1.0,1.0,93.0,16.0,2.0,33.0,0.0,0.0,59.0,3.0,83.0
Bad,71.0,1.0,73.0,22.0,0.0,0.0,96.0,25.0,5.0,4.0,2.0,2.0,37.0,11.0,80.0
Bad,50.0,2.0,91.0,23.0,2.0,0.0,82.0,28.0,2.0,32.0,6.0,6.0,32.0,5.0,67.0
Bad,62.0,19.0,99.0,5.0,1.0,1.0,80.0,6.0,0.0,80.0,0.0,0.0,40.0,1.0,100.0
Bad,70.0,2.0,75.0,16.0,0.0,0.0,100.0,20.0,8.0,30.0,0.0,0.0,78.0,6.0,67.0
Bad,58.0,6.0,79.0,14.0,1.0,0.0,73.0,15.0,2.0,53.0,0.0,0.0,81.0,3.0,86.0
Good,88.0,13.0,82.0,20.0,0.0,0.0,100.0,20.0,0.0,40.0,0.0,0.0,17.0,2.0,50.0
Bad,65.0,7.0,48.0,40.0,0.0,0.0,100.0,43.0,4.0,42.0,2.0,2.0,80.0,5.0,70.0
Bad,74.0,5.0,78.0,26.0,0.0,0.0,96.0,27.0,2.0,37.0,1.0,1.0,37.0,5.0,75.0
Bad,78.0,2.0,95.0,23.0,0.0,0.0,100.0,24.0,1.0,13.0,1.0,1.0,22.0,4.0,43.0
Good,74.0,7.0,110.0,41.0,0.0,0.0,98.0,42.0,4.0,57.0,0.0,0.0,44.0,4.0,69.0
Good,77.0,11.0,103.0,39.0,0.0,0.0,98.0,42.0,1.0,36.0,0.0,0.0,46.0,5.0,69.0
Bad,67.0,2.0,79.0,25.0,0.0,0.0,89.0,27.0,3.0,37.0,12.0,11.0,63.0,13.0,94.0
Good,56.0,6.0,32.0,11.0,2.0,2.0,92.0,14.0,5.0,17.0,3.0,3.0,83.0,5.0,100.0
Good,88.0,20.0,103.0,13.0,0.0,0.0,100.0,14.0,0.0,57.0,0.0,0.0,0.0,2.0,71.0
Bad,75.0,2.0,59.0,21.0,0.0,0.0,100.0,22.0,4.0,36.0,4.0,4.0,43.0,4.0,83.0
Bad,66.0,2.0,69.0,17.0,0.0,0.0,94.0,18.0,4.0,33.0,3.0,3.0,42.0,3.0,58.0
Good,81.0,2.0,91.0,20.0,0.0,0.0,100.0,23.0,2.0,39.0,2.0,2.0,36.0,3.0,67.0
Bad,71.0,8.0,95.0,24.0,0.0,0.0,96.0,24.0,1.0,75.0,1.0,1.0,87.0,4.0,100.0
Bad,69.0,2.0,43.0,5.0,0.0,0.0,100.0,7.0,2.0,43.0,1.0,1.0,37.0,3.0,83.0
Good,74.0,13.0,91.0,13.0,1.0,1.0,93.0,14.0,0.0,29.0,0.0,0.0,36.0,1.0,40.0
Bad,56.0,21.0,109.0,27.0,1.0,1.0,79.0,28.0,0.0,21.0,1.0,1.0,101.0,15.0,94.0
Bad,65.0,9.0,89.0,23.0,0.0,0.0,83.0,23.0,1.0,52.0,0.0,0.0,49.0,4.0,80.0
Good,92.0,15.0,154.0,14.0,0.0,0.0,100.0,15.0,0.0,47.0,0.0,0.0,7.0,2.0,80.0
Good,91.0,3.0,108.0,10.0,0.0,0.0,100.0,11.0,1.0,64.0,1.0,1.0,2.0,1.0,67.0
Good,73.0,6.0,90.0,19.0,1.0,1.0,100.0,19.0,1.0,32.0,0.0,0.0,6.0,1.0,50.0
Bad,66.0,1.0,80.0,14.0,1.0,1.0,88.0,16.0,3.0,69.0,4.0,4.0,58.0,3.0,88.0
Bad,87.0,12.0,59.0,26.0,0.0,0.0,100.0,26.0,0.0,54.0,1.0,1.0,1.0,2.0,75.0
Bad,63.0,2.0,40.0,5.0,1.0,1.0,86.0,7.0,4.0,43.0,0.0,0.0,77.0,3.0,100.0
Good,78.0,1.0,65.0,26.0,0.0,0.0,96.0,28.0,3.0,46.0,1.0,1.0,4.0,4.0,64.0
Bad,75.0,23.0,105.0,11.0,0.0,0.0,82.0,11.0,0.0,45.0,1.0,1.0,13.0,1.0,100.0
Good,68.0,9.0,110.0,24.0,5.0,5.0,86.0,29.0,1.0,31.0,5.0,5.0,5.0,2.0,71.0
Bad,61.0,6.0,96.0,24.0,3.0,2.0,74.0,27.0,3.0,63.0,2.0,2.0,53.0,6.0,92.0
Bad,63.0,2.0,79.0,16.0,0.0,0.0,59.0,17.0,1.0,47.0,3.0,3.0,55.0,7.0,91.0
Bad,69.0,5.0,109.0,11.0,1.0,1.0,92.0,13.0,1.0,31.0,0.0,0.0,94.0,3.0,100.0
Bad,49.0,4.0,48.0,10.0,12.0,9.0,53.0,17.0,1.0,35.0,2.0,2.0,37.0,5.0,80.0
Bad,74.0,9.0,69.0,26.0,0.0,0.0,100.0,27.0,2.0,48.0,0.0,0.0,61.0,3.0,78.0
Bad,65.0,37.0,95.0,15.0,0.0,0.0,76.0,17.0,0.0,29.0,1.0,1.0,51.0,3.0,80.0
Bad,80.0,6.0,91.0,15.0,0.0,0.0,100.0,17.0,1.0,29.0,0.0,0.0,16.0,6.0,69.0
Bad,61.0,10.0,41.0,9.0,0.0,0.0,80.0,10.0,1.0,50.0,2.0,2.0,80.0,4.0,100.0
Bad,57.0,2.0,79.0,23.0,0.0,0.0,92.0,26.0,2.0,58.0,3.0,3.0,57.0,5.0,100.0
Bad,59.0,7.0,81.0,13.0,1.0,0.0,69.0,17.0,1.0,50.0,2.0,2.0,75.0,3.0,100.0
Bad,71.0,15.0,94.0,6.0,1.0,0.0,86.0,7.0,0.0,14.0,0.0,0.0,48.0,2.0,67.0
Good,86.0,15.0,85.0,33.0,0.0,0.0,97.0,34.0,0.0,38.0,0.0,0.0,3.0,3.0,56.0
Good,83.0,3.0,62.0,28.0,0.0,0.0,100.0,28.0,5.0,11.0,4.0,4.0,17.0,2.0,60.0
Bad,59.0,6.0,89.0,29.0,3.0,2.0,79.0,34.0,1.0,38.0,3.0,3.0,38.0,11.0,86.0
Bad,59.0,0.0,50.0,11.0,1.0,0.0,44.0,16.0,1.0,75.0,1.0,1.0,93.0,3.0,90.0
Good,55.0,7.0,81.0,19.0,2.0,1.0,86.0,21.0,2.0,33.0,3.0,3.0,56.0,3.0,83.0
Good,75.0,28.0,97.0,23.0,0.0,0.0,96.0,24.0,0.0,13.0,0.0,0.0,31.0,4.0,57.0
Bad,78.0,3.0,16.0,3.0,0.0,0.0,100.0,3.0,2.0,67.0,16.0,16.0,0.0,0.0,50.0
Good,65.0,0.0,4.0,3.0,0.0,0.0,100.0,6.0,5.0,33.0,9.0,9.0,1.0,1.0,50.0
Good,80.0,3.0,106.0,28.0,0.0,0.0,97.0,30.0,4.0,37.0,3.0,3.0,4.0,4.0,86.0
Bad,70.0,3.0,73.0,20.0,4.0,2.0,88.0,24.0,4.0,67.0,1.0,1.0,16.0,3.0,63.0
Bad,59.0,5.0,82.0,20.0,5.0,5.0,78.0,27.0,1.0,67.0,1.0,1.0,98.0,2.0,100.0
Bad,57.0,4.0,72.0,34.0,2.0,1.0,88.0,40.0,4.0,73.0,3.0,3.0,12.0,3.0,89.0
Bad,77.0,3.0,55.0,31.0,0.0,0.0,100.0,32.0,6.0,63.0,2.0,1.0,26.0,5.0,86.0
Bad,65.0,13.0,24.0,11.0,0.0,0.0,100.0,11.0,0.0,27.0,4.0,4.0,81.0,6.0,88.0
Bad,67.0,2.0,46.0,8.0,0.0,0.0,100.0,9.0,1.0,33.0,1.0,1.0,66.0,5.0,88.0
Bad,73.0,6.0,77.0,25.0,0.0,0.0,100.0,25.0,4.0,36.0,3.0,3.0,54.0,11.0,100.0
Bad,73.0,8.0,113.0,27.0,0.0,0.0,100.0,30.0,1.0,23.0,0.0,0.0,40.0,9.0,68.0
Bad,77.0,17.0,93.0,46.0,0.0,0.0,100.0,51.0,0.0,36.0,0.0,0.0,41.0,8.0,75.0
Bad,61.0,7.0,118.0,34.0,0.0,0.0,82.0,34.0,1.0,50.0,0.0,0.0,97.0,6.0,100.0
Good,86.0,77.0,135.0,14.0,0.0,0.0,100.0,14.0,0.0,36.0,3.0,3.0,3.0,2.0,43.0
Good,66.0,3.0,36.0,34.0,0.0,0.0,100.0,34.0,3.0,26.0,0.0,0.0,66.0,21.0,96.0
Bad,64.0,8.0,108.0,33.0,0.0,0.0,85.0,33.0,2.0,36.0,4.0,4.0,48.0,5.0,62.0
Good,79.0,6.0,100.0,35.0,0.0,0.0,100.0,37.0,1.0,43.0,1.0,1.0,18.0,6.0,71.0
Good,76.0,3.0,84.0,21.0,0.0,0.0,95.0,21.0,1.0,71.0,1.0,1.0,42.0,3.0,75.0
Good,81.0,3.0,128.0,54.0,0.0,0.0,98.0,56.0,3.0,41.0,4.0,4.0,25.0,6.0,90.0
Good,85.0,7.0,120.0,36.0,0.0,0.0,100.0,36.0,1.0,39.0,1.0,1.0,1.0,3.0,50.0
Bad,75.0,5.0,69.0,12.0,0.0,0.0,100.0,12.0,2.0,42.0,2.0,2.0,85.0,2.0,83.0
Bad,72.0,2.0,65.0,25.0,0.0,0.0,100.0,26.0,3.0,42.0,3.0,3.0,40.0,5.0,73.0
Bad,71.0,4.0,68.0,32.0,1.0,1.0,97.0,33.0,5.0,21.0,5.0,5.0,43.0,12.0,76.0
Good,65.0,40.0,190.0,23.0,1.0,1.0,85.0,27.0,0.0,52.0,0.0,0.0,75.0,4.0,88.0
Good,55.0,3.0,65.0,51.0,0.0,0.0,98.0,51.0,3.0,27.0,11.0,9.0,80.0,17.0,79.0
Good,89.0,15.0,75.0,14.0,0.0,0.0,100.0,14.0,0.0,0.0,0.0,0.0,3.0,3.0,50.0
Bad,50.0,20.0,99.0,24.0,2.0,1.0,81.0,26.0,0.0,38.0,1.0,1.0,42.0,6.0,69.0
Good,70.0,3.0,69.0,24.0,1.0,1.0,88.0,33.0,3.0,62.0,5.0,5.0,69.0,8.0,100.0
Bad,55.0,5.0,65.0,59.0,1.0,1.0,98.0,59.0,5.0,36.0,12.0,11.0,44.0,7.0,92.0
Bad,69.0,13.0,57.0,15.0,5.0,4.0,67.0,21.0,0.0,71.0,2.0,2.0,6.0,1.0,75.0
Good,62.0,11.0,93.0,29.0,2.0,2.0,90.0,29.0,1.0,24.0,0.0,0.0,67.0,11.0,100.0
Good,87.0,5.0,67.0,22.0,0.0,0.0,100.0,22.0,2.0,55.0,0.0,0.0,3.0,1.0,44.0
Good,65.0,10.0,64.0,30.0,0.0,0.0,78.0,32.0,3.0,34.0,1.0,1.0,17.0,2.0,67.0
Bad,66.0,7.0,33.0,23.0,0.0,0.0,100.0,24.0,3.0,33.0,2.0,2.0,58.0,8.0,63.0
Bad,85.0,45.0,159.0,4.0,0.0,0.0,100.0,4.0,0.0,50.0,0.0,0.0,53.0,1.0,100.0
Good,81.0,1.0,93.0,37.0,0.0,0.0,100.0,44.0,5.0,16.0,3.0,3.0,19.0,4.0,35.0
Good,65.0,3.0,74.0,27.0,2.0,1.0,68.0,31.0,5.0,45.0,4.0,4.0,11.0,1.0,56.0
Good,65.0,7.0,55.0,24.0,0.0,0.0,83.0,24.0,2.0,33.0,2.0,2.0,13.0,2.0,31.0
Good,85.0,5.0,87.0,28.0,0.0,0.0,100.0,29.0,5.0,38.0,3.0,3.0,11.0,5.0,73.0
Good,67.0,3.0,58.0,31.0,1.0,1.0,94.0,32.0,4.0,56.0,2.0,2.0,18.0,5.0,79.0
Good,92.0,13.0,120.0,14.0,0.0,0.0,100.0,17.0,0.0,35.0,1.0,1.0,11.0,2.0,60.0
Bad,66.0,4.0,123.0,5.0,1.0,1.0,100.0,5.0,2.0,40.0,5.0,5.0,83.0,1.0,100.0
Bad,62.0,8.0,59.0,15.0,2.0,2.0,81.0,16.0,1.0,81.0,11.0,10.0,13.0,2.0,100.0
Bad,62.0,1.0,79.0,31.0,3.0,3.0,92.0,39.0,7.0,85.0,2.0,2.0,13.0,1.0,100.0
Good,69.0,6.0,56.0,17.0,2.0,1.0,90.0,20.0,3.0,55.0,1.0,1.0,16.0,3.0,73.0
Bad,83.0,42.0,151.0,10.0,0.0,0.0,90.0,10.0,0.0,40.0,0.0,0.0,5.0,1.0,33.0
Bad,57.0,13.0,67.0,8.0,4.0,4.0,80.0,10.0,0.0,50.0,1.0,1.0,93.0,1.0,100.0
Bad,66.0,6.0,125.0,38.0,3.0,1.0,79.0,49.0,2.0,48.0,1.0,1.0,45.0,8.0,65.0
Bad,66.0,4.0,145.0,34.0,0.0,0.0,97.0,37.0,4.0,27.0,3.0,3.0,80.0,17.0,83.0
Bad,64.0,6.0,94.0,26.0,0.0,0.0,71.0,28.0,1.0,54.0,0.0,0.0,52.0,5.0,82.0
Good,81.0,16.0,104.0,18.0,0.0,0.0,100.0,19.0,0.0,68.0,0.0,0.0,29.0,3.0,86.0
Good,63.0,2.0,85.0,35.0,0.0,0.0,95.0,38.0,3.0,24.0,3.0,3.0,38.0,5.0,50.0
Bad,66.0,6.0,77.0,23.0,0.0,0.0,100.0,26.0,2.0,42.0,3.0,3.0,105.0,6.0,100.0
Bad,61.0,2.0,145.0,32.0,0.0,0.0,88.0,33.0,1.0,27.0,0.0,0.0,56.0,15.0,78.0
Good,85.0,13.0,74.0,10.0,0.0,0.0,100.0,10.0,0.0,50.0,0.0,0.0,12.0,4.0,86.0
Good,72.0,7.0,57.0,45.0,0.0,0.0,100.0,72.0,2.0,74.0,0.0,0.0,34.0,4.0,73.0
Good,85.0,18.0,72.0,8.0,0.0,0.0,100.0,8.0,0.0,25.0,0.0,0.0,17.0,2.0,75.0
Bad,78.0,8.0,106.0,25.0,0.0,0.0,96.0,25.0,1.0,56.0,1.0,1.0,6.0,2.0,56.0
Good,86.0,2.0,112.0,18.0,0.0,0.0,100.0,21.0,2.0,57.0,3.0,3.0,26.0,3.0,83.0
Good,70.0,5.0,67.0,19.0,1.0,0.0,83.0,23.0,2.0,57.0,0.0,0.0,39.0,2.0,100.0
Bad,62.0,7.0,124.0,55.0,0.0,0.0,95.0,57.0,2.0,39.0,0.0,0.0,32.0,6.0,57.0
Good,82.0,1.0,103.0,16.0,0.0,0.0,100.0,17.0,3.0,47.0,0.0,0.0,25.0,4.0,89.0
Good,75.0,8.0,117.0,40.0,0.0,0.0,100.0,45.0,2.0,42.0,5.0,5.0,34.0,4.0,45.0
Good,66.0,4.0,40.0,9.0,0.0,0.0,100.0,9.0,2.0,33.0,3.0,3.0,80.0,5.0,88.0
Bad,93.0,27.0,174.0,5.0,0.0,0.0,100.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Bad,67.0,16.0,48.0,17.0,1.0,0.0,89.0,18.0,0.0,61.0,1.0,1.0,44.0,1.0,75.0
Bad,64.0,1.0,52.0,22.0,1.0,1.0,88.0,24.0,3.0,38.0,5.0,5.0,29.0,4.0,58.0
Bad,67.0,7.0,38.0,7.0,0.0,0.0,100.0,7.0,1.0,57.0,1.0,1.0,91.0,1.0,75.0
Good,81.0,1.0,54.0,35.0,0.0,0.0,100.0,36.0,1.0,25.0,2.0,2.0,8.0,2.0,67.0
Good,80.0,10.0,129.0,20.0,0.0,0.0,90.0,20.0,1.0,20.0,0.0,0.0,8.0,1.0,50.0
Good,84.0,2.0,85.0,11.0,0.0,0.0,100.0,13.0,1.0,38.0,1.0,0.0,20.0,2.0,38.0
Good,88.0,9.0,93.0,19.0,0.0,0.0,100.0,19.0,1.0,53.0,0.0,0.0,0.0,1.0,29.0
Good,82.0,38.0,92.0,12.0,0.0,0.0,100.0,12.0,0.0,17.0,0.0,0.0,33.0,4.0,100.0
Bad,60.0,1.0,73.0,35.0,0.0,0.0,78.0,40.0,4.0,28.0,8.0,8.0,16.0,10.0,68.0
Bad,60.0,4.0,67.0,18.0,2.0,0.0,67.0,24.0,2.0,58.0,5.0,5.0,0.0,0.0,63.0
Good,75.0,1.0,90.0,27.0,1.0,0.0,94.0,31.0,3.0,16.0,1.0,1.0,3.0,8.0,59.0
Bad,59.0,4.0,74.0,38.0,0.0,0.0,93.0,40.0,2.0,33.0,2.0,2.0,48.0,12.0,83.0
Good,75.0,4.0,74.0,35.0,0.0,0.0,100.0,36.0,5.0,44.0,4.0,4.0,41.0,1.0,80.0
Good,73.0,23.0,65.0,23.0,0.0,0.0,100.0,23.0,0.0,39.0,1.0,1.0,25.0,3.0,62.0
Good,87.0,7.0,71.0,21.0,0.0,0.0,100.0,22.0,1.0,38.0,0.0,0.0,10.0,2.0,67.0
Good,90.0,4.0,96.0,31.0,0.0,0.0,100.0,31.0,1.0,42.0,3.0,3.0,2.0,1.0,20.0
Good,63.0,3.0,42.0,13.0,7.0,7.0,100.0,13.0,2.0,15.0,1.0,1.0,53.0,6.0,89.0
Good,89.0,1.0,106.0,21.0,0.0,0.0,100.0,24.0,1.0,29.0,1.0,1.0,2.0,5.0,64.0
Good,82.0,1.0,82.0,35.0,0.0,0.0,100.0,36.0,5.0,42.0,1.0,1.0,12.0,2.0,44.0
Good,70.0,33.0,131.0,23.0,1.0,1.0,100.0,23.0,0.0,35.0,0.0,0.0,3.0,3.0,55.0
Good,76.0,2.0,68.0,32.0,0.0,0.0,97.0,35.0,5.0,34.0,3.0,3.0,13.0,2.0,67.0
Good,75.0,7.0,101.0,23.0,1.0,1.0,96.0,24.0,1.0,63.0,0.0,0.0,47.0,4.0,89.0
Good,76.0,4.0,87.0,31.0,0.0,0.0,94.0,31.0,3.0,55.0,1.0,1.0,31.0,4.0,60.0
